0	 1.0000000000 
1	 0.9999500396 
2	 0.9999010791 
3	 0.9998531186 
4	 0.9998061579 
5	 0.9997601971 
6	 0.9997152360 
7	 0.9996712747 
8	 0.9996283130 
9	 0.9995863511 
10	 0.9995453887 
11	 0.9995054259 
12	 0.9994664627 
13	 0.9994284989 
14	 0.9993915347 
15	 0.9993555698 
16	 0.9993206044 
17	 0.9992866384 
18	 0.9992536717 
19	 0.9992217043 
20	 0.9991907362 
21	 0.9991607673 
22	 0.9991317976 
23	 0.9991038272 
24	 0.9990768559 
25	 0.9990508838 
26	 0.9990259108 
27	 0.9990019369 
28	 0.9989789621 
29	 0.9989569863 
30	 0.9989360096 
31	 0.9989160319 
32	 0.9988970532 
33	 0.9988790735 
34	 0.9988620927 
35	 0.9988461109 
36	 0.9988311281 
37	 0.9988171441 
38	 0.9988041591 
39	 0.9987921730 
40	 0.9987811857 
41	 0.9987711974 
42	 0.9987622079 
43	 0.9987542172 
44	 0.9987472254 
45	 0.9987412325 
46	 0.9987362384 
47	 0.9987322431 
48	 0.9987292467 
49	 0.9987272491 
50	 0.9987262503 
51	 0.9987262504 
52	 0.9987272492 
53	 0.9987292469 
54	 0.9987322435 
55	 0.9987362388 
56	 0.9987412330 
57	 0.9987472261 
58	 0.9987542180 
59	 0.9987622087 
60	 0.9987711983 
61	 0.9987811867 
62	 0.9987921740 
63	 0.9988041603 
64	 0.9988171454 
65	 0.9988311294 
66	 0.9988461123 
67	 0.9988620942 
68	 0.9988790750 
69	 0.9988970548 
70	 0.9989160335 
71	 0.9989360113 
72	 0.9989569880 
73	 0.9989789638 
74	 0.9990019387 
75	 0.9990259126 
76	 0.9990508856 
77	 0.9990768577 
78	 0.9991038290 
79	 0.9991317994 
80	 0.9991607691 
81	 0.9991907379 
82	 0.9992217060 
83	 0.9992536734 
84	 0.9992866401 
85	 0.9993206061 
86	 0.9993555714 
87	 0.9993915362 
88	 0.9994285004 
89	 0.9994664641 
90	 0.9995054272 
91	 0.9995453899 
92	 0.9995863522 
93	 0.9996283141 
94	 0.9996712756 
95	 0.9997152368 
96	 0.9997601978 
97	 0.9998061585 
98	 0.9998531191 
99	 0.9999010794 
100	 0.9999500397 
